"sex","age","state","undocu","edyrs","income"
"Male",68,"New York","No",11,97.513
"Female",58,"California","No",5,76.358
"Male",38,"Other","No",13,79.417
"Female",58,"New York","No",12,94.834
"Female",46,"New York","No",11,122.483
"Male",64,"Texas","No",10,80.993
"Female",60,"New York","No",8,80.576
"Male",43,"California","Yes",1,51.953
"Male",45,"Other","No",9,73.818
"Female",41,"Other","Yes",5,45.733
"Male",62,"California","No",10,89.184
"Female",53,"California","No",8,87.816
"Male",45,"Other","No",13,79.138
"Female",41,"Other","Yes",7,44.25
"Male",34,"Other","No",13,75.366
"Female",48,"California","Yes",0,51.128
"Male",44,"Other","Yes",7,45.898
"Female",58,"California","No",8,102.341
"Male",48,"California","No",9,84.627
"Male",47,"California","No",4,78.367
"Female",46,"Florida","Yes",4,50.541
"Female",48,"Texas","Yes",7,56.71
"Female",50,"California","Yes",2,56.867
"Male",62,"Other","No",12,78.586
"Female",52,"Other","No",9,67.724
"Female",62,"Other","No",12,77.714
"Female",41,"Illinois","No",9,72.333
"Female",53,"Other","Yes",5,49.669
"Female",78,"Other","No",8,61.093
"Male",57,"Florida","No",11,83.766
"Male",60,"Florida","Yes",11,63.065
"Male",59,"Florida","No",12,83.549
"Female",65,"California","No",8,82.06
"Female",63,"Other","No",13,88.075
"Female",51,"Other","No",11,78.639
"Female",42,"California","No",4,67.316
"Female",67,"New York","No",11,92.225
"Female",65,"Texas","No",11,79.015
"Male",68,"Texas","No",11,77.506
"Male",60,"California","No",5,71.046
"Male",59,"California","No",7,81.736
"Female",56,"Other","Yes",7,49.239
"Female",64,"Other","No",9,68.76
"Male",56,"California","Yes",1,52.455
"Male",79,"Illinois","Yes",7,53.382
"Male",49,"California","Yes",3,58.969
"Female",50,"New York","No",7,76.856
"Male",41,"Other","No",11,71.362
"Male",50,"Other","No",12,75.718
"Male",40,"California","No",7,73.994
"Female",44,"Other","No",11,76.816
"Female",44,"Other","Yes",5,41.468
"Male",52,"Texas","No",14,94.503
"Female",64,"New York","No",12,96.42
"Male",68,"California","No",7,94.359
"Female",61,"Texas","Yes",7,50.952
"Male",35,"Other","Yes",8,45.895
"Female",47,"California","No",5,69.361
"Male",64,"New York","No",12,97.669
"Female",37,"California","No",6,73.802
"Female",58,"Other","No",9,72.45
"Female",45,"California","Yes",5,67.741
"Female",35,"Other","No",13,73.087
"Female",33,"Other","Yes",9,47.604
"Female",47,"California","No",7,77.81
"Male",50,"California","No",5,71.673
"Female",50,"Illinois","No",9,74.283
"Female",51,"Other","No",11,72.342
"Male",64,"New York","No",10,87.455
"Male",43,"Other","Yes",8,49.058
"Male",50,"California","No",7,78.061
"Male",49,"Other","No",11,72.257
"Male",52,"Other","Yes",8,50.34
"Male",47,"New York","No",10,103.234
"Female",56,"Other","No",13,84.902
"Male",55,"Other","No",11,74.487
"Female",72,"Texas","No",11,77.431
"Male",57,"Other","No",7,77.322
"Male",68,"Other","No",12,77.758
"Male",33,"Other","No",11,67.332
"Male",50,"Other","No",10,75.048
"Female",66,"Florida","No",13,91.499
"Male",51,"New York","No",9,85.145
"Male",73,"Other","Yes",7,44.625
"Male",63,"Other","No",9,67.238
"Male",54,"California","No",7,78.747
"Male",64,"Other","No",14,87.143
"Female",61,"New York","No",11,91.185
"Female",45,"Other","No",13,81.086
"Male",63,"California","Yes",4,65.06
"Female",55,"Other","No",14,91.172
"Male",65,"California","Yes",3,56.627
"Male",70,"California","No",6,72.982
"Female",41,"California","No",10,84.464
"Male",58,"Illinois","No",9,77.857
"Male",55,"Other","Yes",8,48.257
"Female",53,"Texas","No",9,87.657
"Male",45,"California","Yes",2,63.403
"Male",62,"Florida","No",11,88.999
"Female",56,"Other","No",11,75.056
"Male",72,"Other","Yes",4,39.248
"Female",26,"Other","No",12,71.817
"Male",59,"Florida","No",10,80.667
"Female",53,"New York","Yes",5,61.905
"Female",69,"New York","Yes",10,76.59
"Male",44,"Other","No",6,54.404
"Female",66,"California","No",8,83.341
"Male",52,"California","Yes",5,73.607
"Male",60,"Other","No",8,65.185
"Female",69,"New York","No",10,87.835
"Female",44,"Other","No",11,72.473
"Male",68,"Other","No",8,63.9
"Female",67,"New York","Yes",5,73.284
"Male",32,"Other","Yes",5,39.873
"Male",57,"California","No",7,80.501
"Female",50,"Other","No",9,65.128
"Female",55,"New York","No",13,98.116
"Male",59,"Other","Yes",9,51.6
"Male",53,"California","No",5,70.584
"Female",48,"Texas","No",11,78.533
"Male",31,"Other","No",10,63.005
"Female",54,"California","Yes",3,60.98
"Female",57,"Texas","No",7,66.399
"Male",43,"Other","No",8,68.295
"Female",64,"Other","No",13,81.548
"Female",43,"Other","No",11,71.661
"Female",55,"Other","No",12,76.548
"Female",36,"Other","No",11,80.906
"Male",41,"Texas","No",12,80.909
"Male",63,"New York","No",12,93.57
"Male",55,"Florida","Yes",6,53.754
"Male",45,"New York","No",11,92.043
"Male",63,"Other","No",12,77.226
"Male",53,"Other","No",10,82.165
"Male",67,"Illinois","No",10,79.582
"Male",34,"Florida","No",12,81.489
"Male",59,"Other","No",9,74.809
"Male",48,"New York","Yes",5,59.161
